Ratio AA AAS CS Diff
1.1670381418825817 Ala 0.241382 0.206833 0.034549000000000024
0.9557969184137408 Ala 0.238392 0.249417 -0.011025000000000007
0.9853206893035588 Ala 0.241576 0.245175 -0.003598999999999991
1.1921646106399384 Ala 0.247398 0.20752 0.039878
0.9530503165929739 Ala 0.239472 0.251269 -0.01179700000000003
0.9339095713988966 Ala 0.242781 0.259962 -0.01718100000000003
1.0076683763558396 Ala 0.239684 0.23786 0.00182400000000002
1.0996616913716293 Ala 0.256462 0.233219 0.023243000000000014
0.8672870368480842 Ala 0.254998 0.294018 -0.03902
1.0031122562843635 Ala 0.247212 0.246445 7.669999999999899e-4
1.042346207612031 Ala 0.237115 0.227482 0.009633000000000003
0.9366447114741456 Ala 0.238052 0.254154 -0.016101999999999977
0.7600709933428902 Ala 0.256093 0.336933 -0.08083999999999997
1.0208189458465091 Ala 0.252766 0.247611 0.005154999999999993
0.7827766491297741 Ala 0.238505 0.304691 -0.066186
1.0074005298857096 Ala 0.259319 0.257414 0.0019050000000000455
0.8949140301860915 Ala 0.245355 0.274166 -0.02881100000000003
0.806173435133047 Ala 0.238949 0.296399 -0.05745000000000003
1.1758295827846197 Ala 0.243753 0.207303 0.03645000000000001
0.8230661944721438 Ala 0.248445 0.301853 -0.05340799999999998
1.210644794290104 Ala 0.249003 0.205678 0.043325
0.9685791661662322 Ala 0.249999 0.258109 -0.008109999999999978
1.0228824206250788 Ala 0.251581 0.245953 0.005627999999999994
1.04184248325361 Ala 0.232832 0.223481 0.009350999999999998
0.8680035699324262 Ala 0.23828 0.274515 -0.03623500000000002
0.9637294620751745 Ala 0.256911 0.26658 -0.009668999999999983
1.0567936644382125 Ala 0.248337 0.234991 0.013345999999999997
0.8012253634524877 Ala 0.244808 0.305542 -0.06073399999999998
0.8945414089525329 Ala 0.250061 0.279541 -0.029480000000000006
1.244611135875719 Ala 0.242912 0.195171 0.04774099999999998
0.833842920602789 Ala 0.237265 0.284544 -0.047279000000000015
0.7784781961434659 Ala 0.24316 0.312353 -0.069193
1.142956739039893 Ala 0.25247000000000003 0.220892 0.03157800000000002
0.9346466579218664 Ala 0.232999 0.249291 -0.016292
0.8884153413670408 Ala 0.225964 0.254345 -0.02838099999999999
1.458435749687714 Ala 0.25335800000000003 0.173719 0.07963900000000002
1.0554728941608997 Ala 0.256082 0.242623 0.013458999999999971
0.9647323205519437 Ala 0.232678 0.241184 -0.008506000000000014
0.9509686810274586 Ala 0.240422 0.252818 -0.01239599999999999
1.0177419897967774 Ala 0.241787 0.237572 0.0042149999999999965
1.1199231677119252 Ala 0.241965 0.216055 0.025910000000000016
0.8253929475886369 Ala 0.239879 0.290624 -0.050744999999999985
1.0169869105896343 Ala 0.249713 0.245542 0.00417099999999998
1.1828750607413654 Ala 0.25803 0.218138 0.03989199999999998
0.8088572897036148 Ala 0.236065 0.29185 -0.055785
1.0529278294718876 Ala 0.252908 0.240195 0.01271300000000003
0.8419775596072931 Ala 0.240132 0.2852 -0.045068
0.7861302170283806 Ala 0.235446 0.2995 -0.064054
1.3500202561274786 Ala 0.239931 0.177724 0.06220700000000001
0.8505691850281346 Ala 0.242311 0.284881 -0.04257
1.040910757023653 Ala 0.241382 0.231895 0.009487000000000023
0.9557969184137408 Ala 0.238392 0.249417 -0.011025000000000007
0.9853206893035588 Ala 0.241576 0.245175 -0.003598999999999991
1.1921646106399384 Ala 0.247398 0.20752 0.039878
0.9530503165929739 Ala 0.239472 0.251269 -0.01179700000000003
0.9339095713988966 Ala 0.242781 0.259962 -0.01718100000000003
1.0076683763558396 Ala 0.239684 0.23786 0.00182400000000002
1.0996616913716293 Ala 0.256462 0.233219 0.023243000000000014
0.8672870368480842 Ala 0.254998 0.294018 -0.03902
1.0031122562843635 Ala 0.247212 0.246445 7.669999999999899e-4
1.042346207612031 Ala 0.237115 0.227482 0.009633000000000003
0.9366447114741456 Ala 0.238052 0.254154 -0.016101999999999977
0.7600709933428902 Ala 0.256093 0.336933 -0.08083999999999997
1.0208189458465091 Ala 0.252766 0.247611 0.005154999999999993
0.7827766491297741 Ala 0.238505 0.304691 -0.066186
1.0074005298857096 Ala 0.259319 0.257414 0.0019050000000000455
0.8949140301860915 Ala 0.245355 0.274166 -0.02881100000000003
0.806173435133047 Ala 0.238949 0.296399 -0.05745000000000003
1.1758295827846197 Ala 0.243753 0.207303 0.03645000000000001
0.8230661944721438 Ala 0.248445 0.301853 -0.05340799999999998
1.210644794290104 Ala 0.249003 0.205678 0.043325
0.9685791661662322 Ala 0.249999 0.258109 -0.008109999999999978
1.0228824206250788 Ala 0.251581 0.245953 0.005627999999999994
1.04184248325361 Ala 0.232832 0.223481 0.009350999999999998
0.8680035699324262 Ala 0.23828 0.274515 -0.03623500000000002
0.9637294620751745 Ala 0.256911 0.26658 -0.009668999999999983
1.0567936644382125 Ala 0.248337 0.234991 0.013345999999999997
0.8012253634524877 Ala 0.244808 0.305542 -0.06073399999999998
0.8945414089525329 Ala 0.250061 0.279541 -0.029480000000000006
1.244611135875719 Ala 0.242912 0.195171 0.04774099999999998
0.833842920602789 Ala 0.237265 0.284544 -0.047279000000000015
0.7784781961434659 Ala 0.24316 0.312353 -0.069193
1.142956739039893 Ala 0.25247000000000003 0.220892 0.03157800000000002
0.9346466579218664 Ala 0.232999 0.249291 -0.016292
0.8884153413670408 Ala 0.225964 0.254345 -0.02838099999999999
1.458435749687714 Ala 0.25335800000000003 0.173719 0.07963900000000002
1.0554728941608997 Ala 0.256082 0.242623 0.013458999999999971
