Taxa,ile_BCAA,leu_BCAA,val_BCAA,gln_GluFamCorr,glu_GluFamCorr,his_GluFam,ile_GluFamCorr,leu_GluFamCorr,pro_GluFamCorr,val_GluFamCorr,ala_t,arg_t,asp_t,gln_t,glu_t,Gly_t,his_t,ile_t,leu_t,lys_t,met_t,phe_t,pro_t,ser_t,trp_t,try_t,val_t
149,0.280275307,0.577185926,0.534836062,9.946418535,0.684486189,108.748555,0.393417818,1.196376679,0.345655768,0.648319857,0.212565687,1.324387166,9.673550046,0.778232769,47.98640011,2.403982035,1.066271125,1.029804196,0.933722666,0.723837282,0.902431392,1.596008679,1.062503681,1.819992584,1.570684923,1.120525111,1.158293129
166,0.268795124,0.554819901,0.574097709,9.504245938,0.665723014,94.43839737,0.384076624,1.205878206,0.342457317,0.651862869,0.182808241,1.342648952,9.284337749,0.733975626,47.40446485,2.326139446,0.953358629,1.012351871,0.969053681,0.730748706,0.935296966,1.554664039,1.059366259,1.767569603,1.563444488,1.129464218,1.166657908
173,0.268131489,0.567564374,0.559162328,9.600932807,0.660600483,118.7484035,0.380491191,1.203650823,0.343228949,0.645862517,0.246250652,1.345732396,9.682654714,0.762332723,44.91378419,2.310503864,1.225865135,0.993069147,0.972561158,0.738588288,0.913396753,1.317772558,1.052733594,1.721609584,1.607551755,1.105022507,1.145682119
178,0.280999185,0.55686559,0.560919953,9.978705483,0.687629982,121.8964843,0.393418888,1.203093274,0.357112044,0.653130301,0.192672079,1.294355528,11.04075173,0.824484508,42.98627995,2.943775875,1.28104575,1.00638052,0.98343122,0.74908532,0.912051778,1.445136751,1.069160723,1.931201927,1.596042259,1.12177852,1.148101299
223,0.262893375,0.559556668,0.573943418,9.452887306,0.665036098,97.33973883,0.383376367,1.202063444,0.360337248,0.655917618,0.184722205,1.312298793,9.668526632,0.758657128,44.77095656,2.345627387,1.028870387,0.999678591,0.966896117,0.725761497,0.95830129,1.52625025,1.085724015,1.794159023,1.621380506,1.166506694,1.163889489
242,0.278078631,0.578415235,0.531552518,9.246122916,0.644042387,100.1549159,0.405479596,1.188545691,0.363118195,0.658808142,0.213186677,1.332692042,12.08651931,0.754694432,41.04140446,2.354034607,1.094509303,1.028025678,0.929397304,0.725267127,0.924113573,1.554723115,1.080569431,1.716372131,1.632525321,1.156919052,1.155969549
258,0.283037883,0.568299104,0.544771972,9.328201835,0.655293326,107.130295,0.416077992,1.188295263,0.375605414,0.669355701,0.246178201,1.314535861,11.32805943,0.779812522,40.16133207,2.352682878,1.194978095,1.042684919,0.935362964,0.716673467,0.892449049,1.48644734,1.096823538,1.814693701,1.655115291,1.113768742,1.17002087
259,0.288869346,0.556511311,0.553580247,10.62175729,0.702538668,123.661977,0.389539981,1.207568992,0.345255053,0.644298522,0.20170771,1.311614586,9.284655384,0.846174754,48.02868805,2.125207464,1.198799373,1.01957273,0.980137064,0.765303227,0.945162856,1.573871444,1.06410841,1.794247244,1.637191273,1.131810183,1.14935965
267,0.295521611,0.564797045,0.53720209,8.40614808,0.620451538,86.90864121,0.417018435,1.191957362,0.35792997,0.662916132,0.227373806,1.319731004,13.23443144,0.697504915,37.30854415,2.538804927,1.039238546,1.03310113,0.959979976,0.750909847,0.926859081,1.304890097,1.057666132,1.835287623,1.625465923,1.158387723,1.149304849
281,0.238495732,0.549066481,0.607907831,9.377413182,0.641135279,105.8626669,0.365628551,1.209842134,0.373591748,0.654767095,0.193765095,1.359681466,10.19648169,0.733215104,44.93169355,2.495015204,1.06245593,0.967299855,0.990467693,0.717735466,0.834179492,1.62235096,1.11434997,1.736548371,1.617595296,1.142042888,1.166829796
282,0.26003548,0.550943428,0.587384654,9.986884856,0.664934158,109.5079724,0.393681639,1.199745921,0.37001234,0.669134208,0.213844646,1.32149104,11.42345578,0.813269819,43.94313072,2.47946178,1.130801031,1.017551097,0.960538814,0.745921077,0.916452415,1.43759066,1.100074826,1.751395163,1.632491709,1.133283986,1.185833128
321,0.289442667,0.578652861,0.524854317,9.104653679,0.623058388,101.5689329,0.419857824,1.184456819,0.392488868,0.666210901,0.204584201,1.342011041,12.34986339,0.751038037,39.00721092,2.167024811,1.142185587,1.050000452,0.920299013,0.727860922,0.905122541,1.495433633,1.126191321,1.766216067,1.641237906,1.113387344,1.164168957
328,0.240370629,0.533123129,0.624652882,8.824850324,0.620760251,106.1029417,0.375857388,1.209983438,0.352107978,0.667108025,0.184349259,1.37342773,12.22571905,0.714692507,39.93471917,2.61766582,1.153383236,0.967728,1.015012288,0.70603274,0.936808879,1.402570156,1.058335213,1.775681112,1.579862011,1.128702244,1.170800909
334,0.265981471,0.555303322,0.575752457,10.02581685,0.644754829,101.2039951,0.387151282,1.203537507,0.362070683,0.656279452,0.194367128,1.36593641,9.016948827,0.799964274,45.06768556,2.011153699,1.02060381,1.012830928,0.965678089,0.687320238,0.905149289,1.555991959,1.094801412,1.713118521,1.619483737,1.149004482,1.170030642
357,0.264846569,0.524913757,0.614950525,9.265205223,0.631269526,105.0616468,0.387678451,1.213859738,0.391289543,0.665249455,0.175147064,1.357367844,10.3005389,0.730826039,44.3900632,2.392042864,1.065324197,1.012991458,1.007254865,0.743047405,0.842425405,1.476846262,1.144855329,1.757334979,1.601514943,1.154756475,1.185748617
362,0.273394551,0.541494223,0.585367452,10.1620556,0.692715376,131.6972175,0.390323852,1.208926636,0.357011363,0.657501891,0.243918783,1.295613329,10.66447285,0.814416765,45.99929962,2.254762086,1.281871311,1.01059543,0.995129714,0.732840767,0.861234657,1.363897594,1.075936593,1.646230061,1.659235891,1.124719155,1.165355848
366,0.278866054,0.565075834,0.551998728,9.072296327,0.616601846,90.1572668,0.398249789,1.197514687,0.383682277,0.65654345,0.1815481,1.346462042,11.40884946,0.754292579,38.87680951,2.384892552,1.023788156,1.008034165,0.969997169,0.716769689,0.953994214,1.375823981,1.111512795,1.773300082,1.622154142,1.107589082,1.147614687
373,0.265093426,0.558270618,0.573186377,10.28324784,0.678866622,114.1957756,0.381559478,1.204328176,0.360677564,0.652488686,0.271434623,1.30303382,11.70014337,0.867848306,42.34478605,2.225122243,1.224001834,0.980501783,0.991945474,0.785864211,0.87971521,1.336710978,1.076408408,1.74350056,1.644835517,1.102646241,1.14422074
374,0.272231324,0.54800753,0.57951422,9.975704074,0.666219013,107.7560506,0.386381555,1.207862136,0.352403313,0.653543111,0.236521229,1.340606064,11.06401768,0.7994526,44.79900057,2.146957838,1.100896459,1.004621072,0.989252317,0.723423843,0.930756288,1.425723416,1.06907731,1.658810513,1.649585943,1.176618861,1.159375483
378,0.299048527,0.542715549,0.561234537,9.879029402,0.65051084,122.2544031,0.413302977,1.201977752,0.36765148,0.663533764,0.241995842,1.34162607,9.848992818,0.798426599,43.04591263,2.295655175,1.245098035,1.051857071,0.973373192,0.703616812,0.913330086,1.505230424,1.092841908,1.755547752,1.642344847,1.16130785,1.171342919
379,0.272630252,0.585257164,0.531226508,8.087475342,0.520859115,92.6899965,0.407173364,1.185031374,0.402538232,0.66316548,0.184805231,1.34332569,10.91017349,0.652377084,35.40848309,2.706041858,1.055621643,1.027512635,0.919675718,0.648538341,0.945810483,1.249666429,1.142821781,1.844854619,1.627830898,1.119348081,1.161125777
380,0.296697652,0.560573702,0.541638318,9.25494462,0.631564166,100.284178,0.404405767,1.199720114,0.366588252,0.652887962,0.249648356,1.359446556,12.93868909,0.749441939,41.74266492,1.927198122,1.084582991,1.032840033,0.966321818,0.75304183,0.924390233,1.443031126,1.087764869,1.760636137,1.584468628,1.10572862,1.150817083
383,0.26401464,0.549859886,0.582289167,8.30081716,0.62000458,84.50914832,0.395865964,1.200358285,0.372772783,0.666776703,0.197196222,1.310554763,12.65854989,0.672419877,38.91600765,2.554022662,0.970377099,1.002057754,0.983799773,0.73578284,0.905541769,1.41907305,1.092157462,1.776268801,1.618809869,1.125228805,1.165117045
386,0.300620596,0.55977128,0.539285795,9.524206941,0.59466367,102.7865166,0.416925269,1.19500768,0.407870443,0.661085676,0.208239072,1.330727842,11.14311882,0.785708836,39.15446373,2.170175311,1.123472527,1.055041729,0.95074758,0.726991101,0.885983041,1.41177903,1.160407678,1.695257548,1.621104447,1.132545146,1.163538775
390,0.281385197,0.566215486,0.547331264,9.605323748,0.677311868,113.5767021,0.407675852,1.19310053,0.378185534,0.662573835,0.194080927,1.300484922,10.3770963,0.768159864,45.06341618,2.075773664,1.151196239,1.047755798,0.932616558,0.755770327,0.927263426,1.468401045,1.116200372,1.811011202,1.650251893,1.136448841,1.175613675
392,0.312707756,0.555071759,0.534354311,9.708702844,0.683958631,110.6627045,0.43449211,1.191148508,0.373614859,0.670125084,0.220704957,1.285846592,11.74572859,0.799317792,42.64559444,2.122205314,1.187129023,1.086416319,0.938159149,0.717697542,0.83144069,1.480211078,1.09898367,1.683937353,1.655752805,1.145254349,1.17771269
641,0.259654322,0.559502914,0.575646895,9.263677251,0.674965665,91.77065942,0.398106356,1.194510799,0.368073288,0.669472895,0.243749895,1.262847484,11.58843128,0.801045258,37.88216091,2.649068249,1.117332068,0.989110146,0.978885175,0.74840519,0.9376939,1.530399122,1.069497735,1.789502547,1.655806166,1.144944496,1.155221019
957,0.281309508,0.559255772,0.557858262,9.245272008,0.643692384,88.86646669,0.408717868,1.194407044,0.367213179,0.666312861,0.250365048,1.304348394,13.78945439,0.785714288,38.35679778,2.366759866,1.065584453,1.019424585,0.96715531,0.720379572,0.95683067,1.384818874,1.074422756,1.810417717,1.60686171,1.119722761,1.157231615
1716,0.295658553,0.566203979,0.534397023,9.54475431,0.623065525,85.55972147,0.389520566,1.205820509,0.388328837,0.637935822,0.217970828,1.342944749,10.26066316,0.780317159,40.80663124,2.169186795,0.953536132,1.000089976,0.993171585,0.722277958,0.930446007,1.55060969,1.125493211,1.731633171,1.673859366,1.109804186,1.121531358
1859,0.249883717,0.552329414,0.593753348,9.448317238,0.628438865,114.3925041,0.375541897,1.206203891,0.401092327,0.656606549,0.203595321,1.330935644,9.916463191,0.805586398,37.85028589,2.523100232,1.313455302,0.95351557,1.015943736,0.752322756,0.91802692,1.473546796,1.132678164,1.767667404,1.708980944,1.164072993,1.139844471
1867,0.271824078,0.56309446,0.560520942,9.709239043,0.653451619,107.3516608,0.400303031,1.19505034,0.355828953,0.663474977,0.218110507,1.325084526,12.34616398,0.823696195,39.53179283,2.156706673,1.215510137,1.004789099,0.966914896,0.729269161,0.924165059,1.407826663,1.060696148,1.75412947,1.627032972,1.137709897,1.153733525
1925,0.278234578,0.558140557,0.561442941,9.309964352,0.616864428,79.78564123,0.411047326,1.193343779,0.395527198,0.669947703,0.213369819,1.321860135,11.49947955,0.798788576,37.11066807,2.450719027,0.955607441,1.020179761,0.966907595,0.749452962,0.931598398,1.415187231,1.120850618,1.831280725,1.658596018,1.11676369,1.16106861
2057,0.276874437,0.580999848,0.533204226,9.055443512,0.635962962,108.8243069,0.410904748,1.185596744,0.407111755,0.664728518,0.228375504,1.303928939,11.14887625,0.755000965,39.07124065,2.290743388,1.219372618,1.029742307,0.927386123,0.74441037,0.949098668,1.524488692,1.149183902,1.787063001,1.654072069,1.142885518,1.159714333
2150,0.278689843,0.590196037,0.516094675,8.730022166,0.617851185,97.70573519,0.408221698,1.183709571,0.401072707,0.658096578,0.213528673,1.309657706,12.49299199,0.731681737,37.76795344,2.207069309,1.129931773,1.019544154,0.924710577,0.746024768,0.938233362,1.561001797,1.133345994,1.743092327,1.659537967,1.183673018,1.143504897
2187,0.295153661,0.560654957,0.543220311,8.820614532,0.633096554,105.7038927,0.407994206,1.198050548,0.38833834,0.656230503,0.247536136,1.342110407,9.778383203,0.712597935,36.8893839,2.568212493,1.123286862,1.046723172,0.952496938,0.745568538,0.936443791,1.343359983,1.119005435,1.748955661,1.619051138,1.082016358,1.16265667
2274,0.267055501,0.565947506,0.561071701,9.844455944,0.682308256,117.3456981,0.384858205,1.201647572,0.325541299,0.650691598,0.206873193,1.321476863,12.63598919,0.810132363,42.93060592,2.124765498,1.237321904,0.989469198,0.97810226,0.734138349,0.90818809,1.511612295,1.007891848,1.761161464,1.634043893,1.130508251,1.144131478
2290,0.310632228,0.557696422,0.533351857,11.05556669,0.674431241,113.6664266,0.415039023,1.199904597,0.352840136,0.65296223,0.203503332,1.345436973,9.880468317,0.875348115,49.18100949,2.309361806,1.075864559,1.087569817,0.93783476,0.713873109,0.95649163,1.611461661,1.086060728,1.800381987,1.61127265,1.169627354,1.176384153
4802,0.279732679,0.551355302,0.570502536,8.873496764,0.585154891,84.85797165,0.403504762,1.200403804,0.401452152,0.664082327,0.225003836,1.371355274,10.06763372,0.717775455,39.51512523,2.410523556,0.950732109,1.031954723,0.967728556,0.690128578,0.906264227,1.53017579,1.150510975,NaN,1.591536343,1.163445551,1.172958235
