"Taxa","ala","arg","asp","gln","glu","Gly","his","ile","leu","lys","met","phe","pro","ser","thr","trp","try","val","Total","ShikFam","AspFam","AspFam_Asp","SerFam","GluFam","GluFam_glu","BCAA","PyrFam","ile_BCAA","leu_BCAA","val_BCAA","gln_GluFamCorr","glu_GluFamCorr","his_GluFam","ile_GluFamCorr","leu_GluFamCorr","pro_GluFamCorr","val_GluFamCorr","ala_t","arg_t","asp_t","gln_t","glu_t","Gly_t","his_t","ile_t","leu_t","lys_t","met_t","phe_t","pro_t","ser_t","trp_t","try_t","val_t"
"A6976",1.386681882,1.135174114,1.146155727,2.960115477,1.081012759,0.577391123,5.274261964,1.521808873,1.862129814,2.87901184,0.771628191,1.049887536,-1.333731835,-0.544179711,0.758129683,0.899322214,0.681044165,1.389142103,0.276591323,0.969342484,1.212482901,1.212482901,-0.057495497,0.588064211,0.930465614,1.24124725,0.952171576,0.267686561,0.543612369,0.588692975,10.15471574,0.65393293,120.6111551,0.379457867,1.212217873,0.400124586,0.650553894,0.202947138,1.325060126,10.62632558,0.821726739,43.75023123,2.163546509,1.21509222,0.987307793,1.010028927,0.708292074,0.92043968,1.534078431,1.154613832,1.684990501,1.653674571,1.070420987,1.151567797
"A6977",1.258916131,1.132459724,1.128878219,2.741071275,1.086080704,0.616670618,4.421283959,1.470798957,1.718649944,2.982783205,0.793748715,1.051506825,-1.709304838,-0.24051566,0.768687055,0.818851605,0.715447762,1.348622755,0.273670036,0.987086175,1.200112316,1.200112316,0.171773219,0.575395752,0.944630866,1.167354538,0.875660883,0.27106959,0.566008511,0.558341606,9.694703395,0.677056043,97.64085359,0.389511293,1.200050707,0.344724058,0.652759892,0.180229609,1.325006309,9.604760638,0.759082572,47.22884423,2.313808256,0.982428407,1.020369926,0.948627949,0.735596231,0.957427092,1.49547772,1.063799602,1.862516391,1.544196973,1.150212788,1.166040549
"A6979",1.287863589,1.076145195,1.143023059,2.889067874,1.088010449,0.667836538,4.818050545,1.432318421,1.748723479,3.064980546,0.788344388,1.037895133,-1.438618395,-0.41770186,0.753396988,0.868031157,0.728980327,1.306586827,0.265416077,0.968166291,1.204092879,1.204092879,0.141905694,0.563490729,0.847020706,1.132751764,0.872210078,0.282380315,0.543470255,0.574924497,10.63360482,0.639744355,125.6129665,0.394569842,1.208041017,0.371817737,0.655522463,0.196096238,1.379717608,9.651283858,0.836880646,46.15572289,2.4810537,1.169704912,1.032766177,0.977621601,0.774385095,0.936408904,1.633554276,1.115336896,1.710741894,1.601405267,1.172571715,1.172937692
"A6980",1.541064945,1.091844173,1.162144553,2.398439876,1.077802187,0.628769878,4.005473503,1.504275704,1.766956394,2.822134993,0.771016226,1.054510767,-1.357205559,-0.457192843,0.76424992,0.906393878,0.720819811,1.372905014,0.271051025,0.965781206,1.223073598,1.223073598,0.072851931,0.583219933,0.790145512,1.202352943,0.989996342,0.266316812,0.561960817,0.567223749,8.379045636,0.56446438,103.8296429,0.38304499,1.20304715,0.399670026,0.651118639,0.24499315,1.369228582,11.03003872,0.662789234,39.12974941,2.366645642,1.094972698,0.991931373,0.976709177,0.710981354,0.912129598,1.439971764,1.146344354,1.71072518,1.656316657,1.158573801,1.149962221
"A6982",1.310846391,1.122790222,1.14090295,2.742179068,1.076652493,0.593503252,4.746994178,1.473448086,1.809331385,2.96865967,0.758400381,1.05200075,-1.878810578,-0.336732013,0.71425639,0.889769872,0.711947342,1.34276693,0.283741502,0.970050058,1.190733325,1.190733325,0.087787654,0.6012678,0.962015546,1.181786574,0.898405717,0.27484416,0.541222104,0.584246494,9.086815605,0.646264834,93.16764367,0.405153989,1.200998089,0.342245326,0.670802805,0.180124304,1.349985677,10.90787719,0.729115455,42.15414233,2.292083426,1.011532143,1.033995199,0.971634011,0.707321842,0.904586351,1.544776083,1.044423068,1.846016221,1.648934618,1.1706507,1.183453783
"A6983",1.715756363,1.160226991,1.190438011,3.109336526,1.074685196,0.505001605,5.871854233,1.59355894,1.879292711,3.058564628,0.762661263,1.064733848,-1.757800622,-0.587838534,0.761776326,0.910825861,0.691041437,1.445433794,0.280112238,0.968017051,1.242372435,1.242372435,-0.198780516,0.612196738,1.065456861,1.307211532,1.095463391,0.250061362,0.559574957,0.584938513,9.952659682,0.67391665,120.4192027,0.373170468,1.205146975,0.360689706,0.652645593,0.269761003,1.301985865,13.61616778,0.858350105,39.51309024,1.882939611,1.362824406,0.948000336,1.011595693,0.732472996,0.908680221,1.36266817,1.063371734,1.67355276,1.669073169,1.108850227,1.13239191
"A6985",1.243359328,1.113989107,1.101385096,2.700267703,1.079589062,0.669265691,5.143087501,1.423509636,1.654864494,3.069226989,0.769312748,1.042218284,-1.434308496,-0.466195626,0.754137812,0.959084757,0.731495002,1.289266663,0.27169113,0.949463987,1.17672235,1.17672235,0.126185257,0.59005956,0.900801305,1.096051668,0.827700512,0.270430472,0.56547,0.557134953,9.258583594,0.63604589,113.3911742,0.416404191,1.186244073,0.386839879,0.677816262,0.181044558,1.34051237,8.266678329,0.755814129,40.75581071,2.560458518,1.212971431,1.050696621,0.922020408,0.757465272,0.910026268,1.611314839,1.122057106,1.713972098,1.72460943,1.191039565,1.191090158
"A6988",1.459482262,1.095797276,1.191267551,2.579219419,1.072860486,0.609203216,4.32755982,1.393561806,1.677966431,2.934540986,0.798637482,1.052225341,-1.609419484,-0.216888262,0.779543496,0.913189776,0.699879945,1.326688333,0.26689741,0.965476982,1.25782768,1.25782768,0.181924969,0.601983526,0.852069122,1.116703111,0.930928391,0.305787692,0.562605049,0.530766131,8.586194226,0.57634067,81.84870525,0.439083538,1.184916602,0.372171429,0.675930504,0.232372469,1.356976965,12.25925121,0.727240882,34.51479862,2.24056041,1.021646085,1.065872947,0.941493008,0.744996904,0.957391339,1.444786627,1.076279122,1.846588836,1.660658026,1.098220245,1.164962195
"A6989",1.390269759,1.117533166,1.170544435,2.914987092,1.078920398,0.59456211,5.33799314,1.481184138,1.693105825,2.962744723,0.774213808,1.055210363,-1.697075851,-0.464951539,0.739805496,0.894807914,0.700214149,1.379761532,0.27827147,0.971063323,1.216966048,1.216966048,0.02469323,0.595264377,0.95940762,1.180436741,0.930787207,0.271009814,0.582456549,0.536141667,9.785436673,0.656065421,116.0696866,0.399633494,1.189434498,0.356935339,0.65752613,0.200325633,1.346724969,12.02606448,0.798532531,42.36646777,2.255178183,1.211860327,1.02039532,0.928541133,0.719402555,0.92716108,1.474852943,1.072026585,1.744939791,1.648820262,1.122151935,1.157901945
"A6990",1.248882267,1.110025459,1.183285535,2.375356027,1.083213676,0.678748543,5.093283842,1.514973953,1.737605969,2.638304931,0.757375348,1.042114659,-1.183469213,-0.319530762,0.743843058,0.852739709,0.719072587,1.35812472,0.26186397,0.975377014,1.233833159,1.233833159,0.089094628,0.567266974,0.844299526,1.192042579,0.876657593,0.252026023,0.568114557,0.572336468,8.522234967,0.559890745,100.2685047,0.368259571,1.205906444,0.425053526,0.644321955,0.191964445,1.334498043,11.17581223,0.666763971,39.72766796,2.420562268,1.053362412,0.965534405,0.98264355,0.700842452,0.873372138,1.543023212,1.192405918,1.891387785,1.578235462,1.126779053,1.141463978
"A6992",1.493093487,1.116850896,1.143737147,3.116565741,1.086262412,0.620070111,5.019952628,1.452325118,1.735666979,2.926412996,0.786476954,1.045761297,-1.682042034,-0.520723636,0.75139715,0.863830346,0.706504086,1.373031207,0.272827801,0.974936778,1.204327851,1.204327851,0.191830972,0.576289042,0.960217242,1.179171281,0.968359532,0.290368764,0.565161953,0.542110817,10.95145978,0.685005418,120.5328595,0.395332468,1.202014485,0.347699065,0.646936213,0.233935712,1.337592993,10.20428451,0.888981411,46.89700732,2.370389187,1.173308737,1.029192391,0.959550908,0.727255785,0.942634208,1.56389321,1.067381938,1.703984484,1.6041793,1.127850991,1.152718401
"A6994",1.398174935,1.124219525,1.16147522,2.659891017,1.071976583,0.601228185,4.410691479,1.488861129,1.775845568,2.865579853,0.773680794,1.059092091,-1.363354203,-0.589991936,0.761125832,0.883831988,0.699228454,1.399913691,0.28005744,0.974179243,1.226414465,1.226414465,-0.035246076,0.604492263,0.874388786,1.218955042,0.955253982,0.281163938,0.565172002,0.550394798,8.627081958,0.571698646,80.11780455,0.401487208,1.196400582,0.409699619,0.657991659,0.199974547,1.349996178,11.65491614,0.717895848,37.23578022,2.329295569,0.93974104,1.016027401,0.963477705,0.691408699,0.928059194,1.433303008,1.155158718,1.672240405,1.636029336,1.128765446,1.151782235
"A6996",1.208109149,1.13425605,1.172940672,2.307074038,1.075869684,0.646605629,5.141529654,1.602432603,1.846215208,2.749237275,0.752244603,1.040219453,-1.243338871,-0.284924497,0.757056651,0.893886651,0.712041301,1.365158914,0.271719844,0.965535572,1.224508213,1.224508213,0.185957944,0.595588163,0.853831829,1.242437375,0.869374694,0.22034786,0.548785271,0.624142381,7.853506761,0.596234563,109.5668672,0.359473419,1.207644631,0.417820807,0.661540116,0.172567203,1.319193199,11.62829569,0.631198631,37.87963656,2.452886044,1.217925119,0.928061039,1.012762774,0.69442593,0.878851702,1.639432253,1.168780353,1.822642604,1.642911028,1.136173973,1.155200125
"A6998",1.437948507,1.146059487,1.121266183,2.824504122,1.083176666,0.582870151,4.801449078,1.419149942,1.672343812,2.898216607,0.783921938,1.042487078,-1.625730408,-0.27860825,0.77276342,0.903411708,0.738325396,1.320499167,0.270491183,0.963118908,1.208287127,1.208287127,0.095535536,0.584026599,0.980000671,1.119900786,0.912441671,0.28499752,0.566990793,0.542554108,9.731002688,0.671878646,105.1140697,0.415240658,1.190418256,0.358079271,0.665662732,0.220780042,1.306475455,9.035439588,0.794511039,43.52553743,2.148264971,1.112172322,1.05532456,0.931581357,0.726640459,0.935209949,1.617476725,1.076718566,1.821790579,1.649487878,1.196655923,1.17542207
"A7000",1.423473715,1.097314676,1.212786611,2.740718146,1.0857082,0.620115744,4.813977456,1.492002215,1.813311301,2.853427227,0.779939968,1.046322335,-1.733791352,-0.23552042,0.721948164,0.874782474,0.682988885,1.379110807,0.263813252,0.973854506,1.25115934,1.25115934,0.19113376,0.574885694,0.908658768,1.212906249,0.959327907,0.276753458,0.550021533,0.572440045,9.751787064,0.664355008,112.5977771,0.380538047,1.211754253,0.340592408,0.644584485,0.228557503,1.346671633,13.15112284,0.795901761,43.04400727,2.267374094,1.18239952,0.984427544,1.015450311,0.734599425,0.918892834,1.504648351,1.04292348,1.81530932,1.610150043,1.042243962,1.136108464
"A7002",1.374837812,1.124631111,1.150363024,2.731030909,1.079294157,0.594301893,4.866653061,1.426613949,1.647086489,2.998972708,0.799873868,1.0552641,-1.249209087,-0.309689663,0.7717172,0.895933446,0.706300209,1.335924727,0.271531017,0.969488827,1.223358846,1.223358846,0.118933849,0.5888858,0.876812019,1.126259778,0.901101493,0.284082425,0.578435572,0.530313801,9.313560903,0.622170443,104.7798909,0.414527479,1.186083814,0.414508665,0.664434984,0.20668884,1.32785734,10.43628042,0.765517139,40.50498065,2.235828672,1.129249624,1.048559371,0.918199928,0.744381986,0.966457065,1.43727314,1.170231146,1.807615231,1.64264453,1.127256067,1.168398063
